"Dependency","Version","License"
"Babel","2.11.0","BSD-3-Clause"
"Flask-Babel","2.0.0","BSD-3-Clause"
"Flask","2.2.2","BSD-3-Clause"
"GPUtil","1.4.0","MIT"
"IPy","1.1","BSD-3-Clause"
"Jinja2","3.1.2","BSD-3-Clause"
"MarkupSafe","2.1.1","BSD-3-Clause"
"Pillow","9.3.0","HPND"
"Pygments","2.13.0","BSD-3-Clause"
"Werkzeug","2.2.2","BSD-3-Clause"
"alabaster","0.7.12","BSD-3-Clause"
"altgraph","0.17.3","MIT"
"attrs","22.1.0","MIT"
"beautifulsoup4","4.11.1","MIT"
"certifi","2022.9.24","MPL-2.0"
"charset-normalizer","2.1.1","MIT"
"click","8.1.3","BSD-3-Clause"
"configobj","5.0.6","BSD-3-Clause"
"docutils","0.19","GPL-1.0-or-later"
"exceptiongroup","1.0.4","MIT AND PSF-2.0"
"flake8","5.0.4","MIT"
"furo","2022.9.29","MIT"
"idna","3.4","BSD-3-Clause"
"imagesize","1.4.1","MIT"
"importlib-metadata","5.1.0","Apache-2.0"
"iniconfig","1.1.1","MIT"
"itsdangerous","2.1.2","BSD-3-Clause"
"m2r2","0.3.3","MIT"
"mccabe","0.7.0","MIT"
"mistune","0.8.4","BSD-3-Clause"
"numexpr","2.8.4","MIT"
"numpy","1.23.5","BSD-3-Clause-Open-MPI AND GCC-exception-3.1 AND GPL-3.0-or-later"
"numpydoc","1.5.0","BSD-UNMODIFIED"
"packaging","21.3","BSD-2-Clause"
"pip","21.1.3","MIT"
"pluggy","1.0.0","MIT"
"psutil","5.9.3","BSD-3-Clause"
"pyadl","0.1","MIT"
"pycodestyle","2.9.1","MIT"
"pyflakes","2.5.0","MIT"
"pyinstaller","5.6.2","GPL-2.0-or-later"
"pyparsing","3.0.9","MIT"
"pystray","0.19.4","GPL-3.0-only AND LGPL-3.0-only"
"pytest","7.2.0","MIT"
"python-xlib","0.32","LGPL-2.0-or-later"
"pytz","2022.6","MIT"
"requests","2.28.1","Apache-2.0"
"setuptools","56.0.0","MIT"
"six","1.16.0","MIT"
"snowballstemmer","2.2.0","BSD-3-Clause"
"sphinx-basic-ng","1.0.0b1","MIT"
"sphinx","5.3.0","BSD-3-Clause"
"sphinxcontrib-applehelp","1.0.2","BSD-2-Clause"
"sphinxcontrib-devhelp","1.0.2","BSD-2-Clause"
"sphinxcontrib-htmlhelp","2.0.0","BSD-2-Clause"
"sphinxcontrib-jsmath","1.0.1","BSD-2-Clause"
"sphinxcontrib-qthelp","1.0.3","BSD-2-Clause"
"sphinxcontrib-serializinghtml","1.1.5","BSD-2-Clause"
"tomli","2.0.1","MIT"
"urllib3","1.26.13","MIT"
"zipp","3.11.0","MIT"
