"Dependency","Version","License"
"Jinja2","3.1.2","BSD-3-Clause"
"MarkupSafe","2.1.3","BSD-3-Clause"
"PySocks","1.7.1","BSD-3-Clause"
"Pygments","2.16.1","BSD-2-Clause"
"alabaster","0.7.13","BSD-3-Clause"
"black","23.9.1","MIT"
"breathe","4.35.0","BSD-3-Clause"
"brotlipy","0.7.0","MIT"
"certifi","2023.7.22","MPL-2.0"
"cffi","1.15.1","MIT"
"charset-normalizer","2.0.4","MIT"
"click","8.1.7","BSD-3-Clause"
"colorama","0.4.6","BSD-3-Clause"
"conda-content-trust","0.1.3","BSD-3-Clause"
"cryptography","38.0.1","BSD-3-Clause"
"distlib","0.3.7","PSF-2.0"
"filelock","3.12.3","Unlicense"
"furo","2023.9.10","MIT"
"idna","3.4","BSD-3-Clause"
"imagesize","1.4.1","MIT"
"importlib-resources","6.0.1","Apache-2.0"
"m2r2","0.3.3.post2","MIT"
"markdown-it-py","3.0.0","MIT"
"mdurl","0.1.2","MIT"
"mistune","0.8.4","BSD-3-Clause"
"mypy-extensions","1.0.0","MIT"
"numpy","1.22.3","BSD-3-Clause"
"pathspec","0.11.2","MPL-2.0"
"pip","22.3.1","MIT"
"pipenv","2023.9.1","MIT"
"pkgutil_resolve_name","1.3.10","MIT AND PSF-2.0"
"platformdirs","3.10.0","MIT"
"pycparser","2.21","BSD-3-Clause"
"pydantic","2.3.0","MIT"
"requests","2.28.1","Apache-2.0"
"rich","13.5.2","MIT"
"rstcheck-core","1.1.1","MIT"
"rstcheck","6.2.0","MIT"
"rstfmt","0.0.14","MIT"
"setuptools","65.5.0","MIT"
"six","1.16.0","MIT"
"snowballstemmer","2.2.0","BSD-3-Clause"
"sphinx-basic-ng","1.0.0b2","MIT"
"sphinx-copybutton","0.5.2","MIT"
"sphinxcontrib-applehelp","1.0.7","BSD-2-Clause"
"sphinxcontrib-devhelp","1.0.5","BSD-2-Clause"
"sphinxcontrib-htmlhelp","2.0.4","BSD-2-Clause"
"sphinxcontrib-jsmath","1.0.1","BSD-2-Clause"
"sphinxcontrib-qthelp","1.0.6","BSD-2-Clause"
"sphinxcontrib-serializinghtml","1.1.9","BSD-2-Clause"
"tomli","2.0.1","MIT"
"typer","0.9.0","MIT"
"urllib3","1.26.13","MIT"
"virtualenv-clone","0.5.4","MIT"
"virtualenv","20.24.4","MIT"
"wheel","0.37.1","MIT"
